Processo;Código do Cliente;Cliente;Data Bal.;Geração média de caixa;Último Balanço > 1460 dias;ROB para data base;Soma 3 últimos Lucros Líquidos ;Patrimônio Líquido - Última DF;Risco;Dívida Líquida / Ebitda;Dívida / ROB;Dívida;Aplicações de Liquidez Imediata;Nível BACEN;Possui Audit.Externa?;Audit. Big 4
416434;238798;BEST PULP BRASIL LTDA.;43465;6027630,56;Não;35188866,17;17614384,24;30633608,99;B ;0,057955368;0,043372316;1029490;1188640,32;B ;N;NULL
416490;619790;MOURA DIAS PARTICIPACOES LTDA;43465;1396803,487;Não;32156057,17;2970505,03;3189499,73;AA;1,952443028;0,140803332;Não possui balanço cadastrado;405805,79;AA;N;NULL
416516;140722;PNEUS UBERLANDIA LTDA;43465;3756859,667;Não;52161457;10559427;7820750;A ;4,507381749;0,406263096;1103620;0;A ;N;NULL
416743;288297;COOP. PROD. LEITE DE IRAI DE MINAS LTDA;43465;525072,3333;Não;46087517;1070016;4228523;D ;-3,205537878;0,041094859;55650;0;D ;S;N
416756;566271;IRMAOS LIMA LTDA;43465;661285,1467;Não;59581187,48;1983855,44;5932187,8;B ;1,304739436;0,100095185;21810;242943,08;B ;N;NULL
416951;423004;RAPIDO MAXEXPRESS LTDA;43465;4604706,613;Não;71423406,51;112640,59;17585784,21;D ;7,434977847;0,215368753;10551600,25;1099466,55;D ;N;NULL
417154;329077;COOPERATIVA DOS CAFEICULTORES DO CERRADO DE A;43465;1074666,667;Não;60736000;-717000;17714000;C ;13,84500978;0,63158588;2238990;2986000;C ;S;N
417309;229649;COMERCIAL ELETRO FONTE LTDA;43465;3192327,663;Não;35939593,95;9308726,76;48466,45;C ;1,238474917;0,159895796;2052730;271879,18;C ;N;NULL
417439;320269;SAQUETTO INDUSTRIA MECANICA LTDA;43465;1658913,747;Não;36584776,47;4476107,93;6588479,1;C ;1,577187086;0,150712961;2687726,27;0;C ;N;NULL
417522;739363;CULTURA AGRONEGOCIOS LTDA;43465;56702;Não;73605501;-1388930;1659464;C ;4,780625361;0,185646709;3470100,6;1688923;C ;N;NULL
417729;170882;TEIXEIRA E CHAVES LTDA;43465;1708014,487;Não;77217032,97;4493149,3;18918785,44;C ;1,480509557;0,105780159;3357529,84;1928714,96;C ;N;NULL
417824;1042538;PRODAP PARTICIPACOES S/A;43465;8348302,333;Não;50758570;23531894;13415335;A ;-0,123930132;0,004539608;Não possui balanço cadastrado;1598312;A ;S;N
417872;187645;LUPA TECNOLOGIA E SISTEMAS LTDA;43465;420494,4667;Não;47052394,4;977194,09;3841861;C ;1,70991267;0,10686776;499685,13;1822984;C ;N;NULL
